band,seed,real_macro,shuf_macro,bag_macro
all,0,0.315984492549272,0.3033942527494956,0.2795204157160089
all,1,0.2873288007004128,0.2972808569105283,0.24063191039641357
all,2,0.3146490577099559,0.3074253637267322,0.2592750040740871
all,3,0.3110047569663093,0.30907983918985993,0.2813187940372096
all,4,0.30225316993876133,0.29977439071681045,0.2709210832304768
13-40,0,0.20192568257286259,0.18661361714954,
13-40,1,0.26718511962360925,0.27554621232373255,
13-40,2,0.21371079240188542,0.22846829043308708,
13-40,3,0.22423250857463714,0.22498364340559807,
13-40,4,0.22978221994475354,0.21056538219280566,
41-96,0,0.31218290990604824,0.2880215561718287,
41-96,1,0.27480446926736685,0.2653062103324578,
41-96,2,0.30642556119251546,0.2992281509341402,
41-96,3,0.29782961886596926,0.3013584889552874,
41-96,4,0.27765459420879446,0.2743630442703625,
