band,mean_len,seed,real_macro,shuf_macro
2-4,3.4,0,0.288977879481312,0.28775997886545945
2-4,3.4,1,0.3005156426815231,0.29052967738131996
2-4,3.4,2,0.29126342025116275,0.29126342025116275
2-4,3.4,3,0.3076457780556917,0.30800508986357794
2-4,3.4,4,0.2904997700029764,0.29111365369946607
13-40,22.3,0,0.35647616205093435,0.35608787429305344
13-40,22.3,1,0.34923333125050887,0.33468443950994825
13-40,22.3,2,0.3415673568502617,0.32373491490400763
13-40,22.3,3,0.3716702291948194,0.36342798489450295
13-40,22.3,4,0.41877207954182255,0.41132079721547216
41-96,47.8,0,0.5264374414783684,0.5360299932700447
41-96,47.8,1,0.5458797441251176,0.47910052019016725
41-96,47.8,2,0.5184342470409408,0.47038506073248876
41-96,47.8,3,0.5149166682457456,0.48164895437197774
41-96,47.8,4,0.4544317170989925,0.4389634787125073
