source,V,macro_f1_mean,ci_lo,ci_hi,f1_per_seed
mel_umap,10,0.1881,0.1565,0.2197,0.187;0.151;0.200;0.183;0.220
mel_umap,15,0.2167,0.1921,0.2414,0.200;0.196;0.231;0.214;0.242
mel_umap,30,0.23,0.2001,0.2599,0.223;0.197;0.243;0.226;0.262
mel_umap,60,0.2402,0.2188,0.2617,0.232;0.216;0.255;0.241;0.258
mel_umap,120,0.263,0.2515,0.2745,0.253;0.252;0.271;0.269;0.269
ssl,10,0.3112,0.2833,0.3391,0.337;0.293;0.284;0.326;0.315
ssl,15,0.3212,0.2846,0.3578,0.355;0.307;0.279;0.340;0.324
ssl,30,0.3259,0.2886,0.3632,0.363;0.309;0.289;0.349;0.319
ssl,60,0.3241,0.2962,0.352,0.355;0.314;0.298;0.339;0.314
ssl,120,0.3348,0.2974,0.3721,0.382;0.326;0.308;0.346;0.313
